"l_kw","geonames_kw","geonames_id","lc_kw","lc_id"
"Khali Kachigam (India)","Khali Kachigam",1267116,"Khali Kachigam (India)",
"Khānāpur (India)","Khānāpur",1445119,,
"Khandāri (India)","Khandāri",6992356,,
"Kharal (India)","Kharal",1266964,,
"Khārda (India)","Khārda",1267167,,
"Khardi Nadī","Khardi Nadī",1266942,,
"Khārod Nadi","Khārod Nadi",1266881,,
"Khārowāla Rann (India)","Khārowāla Rann",7746170,,
"Khatauli (India)","Khatauli",1266849,,
"Khejroli (India)","Khejroli",1266797,,
"Kherva (India)","Kherva",1266749,,
"Khilchipur (India)","Khilchipur",1266731,,
"Khonsa (India)","Khonsa",1266668,"Khonsa (India)","n2006206274"
"Khowai (India)","Khowai",1266649,,
"Khujji (India)","Khujji",1266633,,
"Kodoli (India)","Kodoli",1266390,,
"Kohima (India)","Kohima",1266367,"Kohima (India)","n82053218"
"Kolab River (India)","Kolāb River",1266323,,
"Kolār Nadī","Kolār Nadī",1266299,,
"Kolār River","Kolār River",1266298,,
"Kolasib (India)","Kolasib",1266258,,
"Kolkata (India)","Kolkata",1275004,"Kolkata (India)","n2012073732"
"Konār Nadī","Konār Nadī",1266219,,
"Konta (India)","Konta (India)",1266167,,
"Kota (India : District)","Kota",1266054,"Kota (India : District)","n83002221"
"Kotdwāra (India)","Kotdwāra",1266014,,
"Krishnapur (India)","Krishnapur",1348742,,
"Krishnāwati Nadī","Krishnāwati Nadī",1265850,,
"Kumbalangy (India)","Kumbalangy",7731699,,
"Kunduz (Afghanistan)","Kunduz",1135690,"Kundūz (Afghanistan)","n87929913"
"Kunduz Airport (Afghanistan)","Kunduz Airport",6252369,,
"Kunwāri River","Kunwāri River",1265565,,
"Kupwāra (India)","Kupwāra ",6268046,,
"Kurnool Cuddapah Canal","Kurnool Cuddapah Canal",1265490,,
"Kushinagar (India : District)","Kushinagar",7626229,"Kushinagar (India : District)","n2010214745"
"Lafayette (Calif.)","Lafayette",5364226,"Lafayette (Calif.)","n81011870"
"Laksar (India)","Laksar",1265208,,
"Lakshadweep (India)","Lakshadweep",1265206,"Lakshadweep (India)","n80123357"
"Lālgola (India)","Lālgola",1265166,,
"Langāi River","Langāi River",1265103,,
"Lanjigarh (India)","Lanjigarh",1265083,,
"Larkspur (Calif.)","Larkspur",5365113,"Larkspur (Calif.)","n79132166"
"Lawngtlai (India)","Lawngtlai",1264986,,
"Leh (India : District)","Leh",7909879,"Leh (India : District)","n2012218730"
"Lenteng (India)","Lenteng",1264958,,
"Līlri River","Līlri River",1264918,,
"Loktak Lake (India)","Logtāk Lake",1264851,"Loktak Lake (India)","sh2006006636"
"Los Altos (Calif.)","Los Altos",5368335,"Los Altos (Calif.)","n81119252"
"Los Altos Hills (Calif.)","Los Altos Hills",5368346,"Los Altos Hills (Calif.)","n81140173"
"Los Gatos (Calif.)","Los Gatos",5368518,"Los Gatos (Calif.)","n81119251"
"Louisiana","Louisiana",4331987,"Louisiana","n79138970"
"Lower Subansiri (India)","Lower Subansiri",1264739,,
"Lucknow (India : District)","Lucknow",1264734,"Lucknow (India : District)","n81059800"
"Ludhiana (India : District)","Ludhiāna",1264729,"Ludhiana (India : District)","n83131584"
"Lūni (India)","Lūni",1264673,,
"Lūni River (India)","Lūni River",1264670,,
"Lūnkaransar (India)","Lūnkaransar",1264688,,
"Machchhu River (India)","Machchhu River",1264649,"Machchhu River (India)","sh2011000351"
"Madded (India)","Madded",1264600,,
"Madgaon (India)","Madgaon",1264588,"Madgaon (India)","n82036184"
"Madhubani (India : District)","Madhubani",1264556,"Madhubani (India : District)","n89114248"
"Madhupur (India)","Madhupur",1264551,"Madhupur (India)","n85044957"
"Madhya Pradesh (India)","Madhya Pradesh",1264542,"Madhya Pradesh (India)","n79130768"
"Madurai (India : District)","Madurai",1264522,"Madurai (India : District)","n82272158"
"Mahānadī Main Canal","Mahānadī Main Canal",1264448,,
"Mahanadi River (India)","Mahānadī River",1264446,"Mahanadi River (India)","sh92002076"
"Mahānanda River","Mahānanda River",1264443,,
"Maharashtra (India)","Mahārāshtra",1264418,"Maharashtra (India)","n50000932"
"Māhi Nāla","Māhi Nāla",1351258,,
"Mahi River (India)","Mahi River",1264371,,
"Maine","Maine",4971068,"Maine","n79005604"
"Mājulī (India)","Mājuli",1264231,"Mājulī (India)","n81071713"
"Mālād (India)","Mālād",1264179,,
"Māldah District (India)","Māldah",1264122,"Māldah District (India)","n82259497"
"Malebennūr (India)","Malebennūr",1264120,,
"Mālūr (India)","Mālūr (India)",1264010,,
"Mamit (India)","Mamit",7909838,,
"Mān River (India)","Mān River",1263624,,
"Manāli (India)","Manāli",1263967,"Manāli (India)","n84152445"
"Māndal (India)","Māndal",1263917,,
"Mandavi River (India)","Mandavi River",1263885,"Mandavi River (India)","sh2007020049"
"Mandrem (India)","Mandrem",1263840,,
"Mangalore (India)","Mangalore",1263780,"Mangalore (India)","n82150505"
"Mani Mājra (India)","Mani Mājra",1263714,,
"Manipala (India)","Manipala",1263707,"Manipala (India)","n79048381"
"Manipur (India)","Manipur",1263706,"Manipur (India)","n79060976"
"Manjra River (India)","Mānjra River",1263682,"Manjra River (India)","sh85080574"
