"l_kw","geonames_kw","geonames_id","lc_kw","lc_id"
"Turkmenistan","Turkmenistan",1218197,"Turkmenistan","n91129790"
"Udaipur (India : District)","Udaipur",1253989,"Udaipur (India : District)","n85156501"
"Ujjain (India : District)","Ujjain",1253915,"Ujjain (India : District)","n81030113"
"Ukhrul (India : District)","Ukhrul",1253904,"Ukhrul (India : District)","n2005207713"
"Union City (Calif.)","Union City",5404555,"Union City (Calif.)","n81081042"
"United States","United States",6252001,"United States","n78095330"
"Uppala River","Uppala River",1253724,,
"Upper Bāri Doāb Canal (India)","Upper Bāri Doāb Canal",1253722,,
"Upper Subansiri (India)","Upper Subansiri",1253720,"Upper Subansiri (India)","n2012218616"
"Upputeru River","Upputeru River",1253709,,
"Usgao (India)","Usgao",1253672,,
"Usri Nadī","Usri Nadī",1253664,,
"Utah","Utah",5549030,"Utah","n79021759"
"Uttar Pradesh (India)","Uttar Pradesh",1253626,"Uttar Pradesh (India)","n80125998"
"Uttarakhand (India)","Uttarakhand",1444366,"Uttarakhand (India)","n2010001342"
"Uzbekistan","Uzbekistan",1512440,"Uzbekistan","n91129869"
"Vacaville (Calif.)","Vacaville",5405228,"Vacaville (Calif.)","n81081043"
"Vadodara (India : District)","Vadodara",1253574,"Vadodara (India : District)","n82047072"
"Vaigai River","Vaigai River",1253547,,
"Vaippār River","Vaippār River",1253540,,
"Vallejo (Calif.)","Vallejo",5405380,"Vallejo (Calif.)","n79125898"
"Valpoy (India)","Valpoy",1253471,,
"Vamsadhara River (India)","Vamsadhāra River",1253458,"Vamsadhara River (India)","sh2012002791"
"Vārāhi (India)","Vārāhi Vārāhi Vārāhi ",1253411,,
"Vārānasi (Uttar Pradesh, India : District)","Vārānasi",1253407,"Vārānasi (Uttar Pradesh, India : District)","n82017475"
"Varangaon (India)","Varangaon",1253403,,
"Vāsco Da Gāma (India)","Vāsco Da Gāma",1253367,,
"Vātrak River","Vātrak River",1253353,,
"Vellore (India : District)","Vellore",7646146,"Vellore (India : District)","no2002095688"
"Vena River (India)","Vena River",1253264,,
"Venkatāpur (Karnataka : India)","Venkatāpur",1253249,,
"Veraval (India)","Verāval",1253237,"Veraval (India)","n2008206476"
"Vermont","Vermont",5242283,"Vermont","n79007067"
"Vijayawāda (India)","Vijayawāda",1253184,"Vijayawāda (India)","n81089485"
"Villanur (India)","Villanur",1253169,,
"Virginia","Virginia",6254928,"Virginia","n79022909"
"Vishākhapatnam (India : District)","Vishākhapatnam",1253103,"Vishākhapatnam (India : District)","n85155188"
"Vuyyūru (India)","Vuyyūru",1253077,,
"Wābāgai (India)","Wābāgai",1253071,,
"Walnut Creek (Calif.)","Walnut Creek",5406990,"Walnut Creek (Calif.)","n81050045"
"Wandoor (India)","Wandūr",1252968,"Wandoor (India)","n89234298"
"Warangal (India : District)","Warangal",1252949,"Warangal (India : District)","n85014568"
"Wardha River (India)","Wardha River",1252938,,
"Washington (D.C.)","Washington (D.C.)",4138106,"Washington (D.C.)","n79018774"
"Washington (State)","Washington",5815135,"Washington (State)","n79027224"
"West Allahābād Branch","West Allahābād Branch",7003767,,
"West Bengal (India)","West Bengal",1252881,"West Bengal (India)","n81063203"
"West Virginia","West Virginia",4826850,"West Virginia","n79059831"
"Western Province (Zambia)","Western Province",896140,"Western Province (Zambia)","n83055144"
"Windsor (Calif.)","Windsor",5410004,"Windsor (Calif.)","n88160653"
"Wisconsin","Wisconsin",5279468,"Wisconsin","n79022855"
"Woodside (Calif.)","Woodside",5410535,"Woodside (Calif.)","n81116235"
"Wyoming","Wyoming",5843591,"Wyoming","n79022108"
"Yamuna River (India)","Yamuna",1252798,"Yamuna River (India)","sh87001822"
"Yercaud (India)","Yercaud",1252734,,
"Yountville (Calif.)","Yountville",5410999,"Yountville (Calif.)","n80072141"
"Zambia","Zambia",895949,"Zambia","n80089997"
"Zunheboto (India)","Zunheboto",1252654,,
